S,3212,42.495,823.026,0.178,390.89,0.03,2.451855,0.000664,3.27784,0.00071,64.879,130.901,110.157,21.830,73314.590
S,3212,42.534,819.903,0.171,390.61,0.02,2.440781,0.000636,3.26540,0.00068,64.887,130.889,110.153,21.831,73314.427
S,3212,42.576,816.552,0.168,390.31,0.02,2.428929,0.000623,3.25206,0.00067,64.895,130.877,110.150,21.832,73314.263
S,3212,42.621,812.891,0.170,389.99,0.02,2.416041,0.000628,3.23747,0.00068,64.903,130.866,110.146,21.833,73314.099
S,3212,42.669,809.050,0.175,389.66,0.02,2.402621,0.000642,3.22218,0.00070,64.911,130.854,110.142,21.833,73313.935
S,3212,42.715,805.286,0.181,389.36,0.02,2.389601,0.000658,3.20719,0.00072,64.919,130.843,110.138,21.834,73313.771
S,3212,42.757,801.849,0.188,389.11,0.02,2.377843,0.000676,3.19350,0.00075,64.928,130.831,110.134,21.835,73313.607
S,3212,42.793,798.845,0.195,388.90,0.02,2.367669,0.000696,3.18154,0.00077,64.936,130.819,110.131,21.836,73313.444
S,3212,42.825,796.208,0.201,388.73,0.02,2.358809,0.000716,3.17103,0.00080,64.944,130.807,110.127,21.837,73313.280
S,3212,42.855,793.784,0.205,388.57,0.03,2.350709,0.000729,3.16138,0.00082,64.952,130.795,110.123,21.837,73313.116
S,3212,42.896,790.309,0.207,388.37,0.03,2.339155,0.000732,3.14754,0.00082,64.964,130.777,110.118,21.839,73312.870
S,3212,42.948,786.056,0.209,388.12,0.03,2.325113,0.000739,3.13060,0.00083,64.980,130.753,110.110,21.840,73312.542
S,3212,42.989,782.637,0.212,387.94,0.03,2.313900,0.000751,3.11699,0.00084,64.996,130.729,110.103,21.842,73312.215
S,3212,43.023,779.769,0.206,387.78,0.03,2.304458,0.000736,3.10556,0.00082,65.013,130.705,110.095,21.843,73311.887
S,3212,43.065,776.406,0.187,387.56,0.03,2.293229,0.000676,3.09217,0.00075,65.029,130.681,110.088,21.845,73311.559
S,3212,43.103,773.376,0.181,387.34,0.02,2.282999,0.000654,3.08010,0.00072,65.041,130.663,110.082,21.846,73311.314
S,3212,43.131,771.106,0.178,387.17,0.02,2.275291,0.000640,3.07106,0.00071,65.049,130.651,110.078,21.847,73311.150
S,3212,43.164,768.515,0.172,386.97,0.02,2.266467,0.000618,3.06074,0.00069,65.057,130.638,110.075,21.848,73310.986
S,3212,43.203,765.493,0.164,386.73,0.02,2.256178,0.000584,3.04871,0.00065,65.065,130.626,110.071,21.849,73310.822
S,3212,43.246,762.116,0.156,386.47,0.02,2.244727,0.000551,3.03526,0.00062,65.073,130.615,110.067,21.849,73310.658
S,3212,43.291,758.583,0.152,386.22,0.02,2.232848,0.000536,3.02118,0.00061,65.081,130.603,110.063,21.850,73310.494
S,3212,43.334,755.120,0.157,385.99,0.02,2.221345,0.000551,3.00740,0.00063,65.089,130.591,110.059,21.851,73310.331
S,3212,43.374,751.935,0.171,385.81,0.02,2.210905,0.000596,2.99471,0.00068,65.097,130.579,110.056,21.852,73310.167
S,3212,43.409,749.147,0.191,385.66,0.02,2.201905,0.000663,2.98360,0.00076,65.105,130.567,110.052,21.853,73310.003
S,3212,43.448,745.944,0.223,385.54,0.03,2.191757,0.000764,2.97085,0.00089,65.117,130.549,110.046,21.854,73309.757
S,3212,43.488,742.609,0.231,385.42,0.03,2.181310,0.000808,2.95757,0.00092,65.141,130.512,110.035,21.856,73309.266
S,3212,43.532,739.102,0.209,385.25,0.03,2.170028,0.000743,2.94360,0.00083,65.166,130.475,110.024,21.859,73308.774
S,3212,43.569,736.218,0.189,385.05,0.03,2.160463,0.000672,2.93211,0.00075,65.178,130.457,110.018,21.860,73308.528
S,3212,43.598,733.950,0.175,384.89,0.02,2.152902,0.000623,2.92308,0.00070,65.186,130.445,110.015,21.861,73308.364
S,3212,43.629,731.595,0.163,384.72,0.02,2.145058,0.000581,2.91370,0.00065,65.194,130.433,110.011,21.861,73308.201
S,3212,43.660,729.258,0.155,384.56,0.02,2.137291,0.000553,2.90439,0.00062,65.202,130.421,110.007,21.862,73308.037
S,3212,43.690,726.979,0.151,384.40,0.02,2.129732,0.000535,2.89532,0.00060,65.210,130.408,110.003,21.863,73307.873
S,3212,43.719,724.720,0.148,384.24,0.02,2.122250,0.000528,2.88632,0.00059,65.218,130.396,110.000,21.864,73307.709
S,3212,43.749,722.448,0.148,384.09,0.02,2.114739,0.000528,2.87727,0.00059,65.226,130.384,109.996,21.865,73307.545
S,3212,43.779,720.195,0.150,383.93,0.02,2.107310,0.000537,2.86830,0.00060,65.234,130.372,109.992,21.866,73307.381
S,3212,43.807,718.006,0.155,383.79,0.02,2.100109,0.000552,2.85958,0.00062,65.242,130.360,109.989,21.866,73307.218
S,3212,43.834,715.933,0.160,383.65,0.03,2.093315,0.000573,2.85132,0.00064,65.250,130.348,109.985,21.867,73307.054
S,3212,43.872,713.115,0.168,383.47,0.03,2.084094,0.000601,2.84010,0.00067,65.262,130.329,109.979,21.868,73306.808
